City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
Aklavik,68.22,-135.01,28.4,79.0,98.0,2.24
Iqaluit,63.75,-68.51,8.6,71.0,40.0,3.36
Vaini,-21.2,-175.2,78.8,78.0,75.0,9.17
East London,-33.02,27.91,66.2,68.0,20.0,12.75
Turbat,26.0,63.04,78.94,26.0,0.0,3.49
Kostanay,53.17,63.58,35.6,93.0,90.0,15.66
Leningradskiy,69.38,178.42,17.96,96.0,100.0,8.28
Constitución,-35.33,-72.42,57.47,69.0,0.0,7.47
Cape Coast,5.11,-1.25,78.44,85.0,99.0,8.7
Shihezi,44.3,86.03,45.01,49.0,0.0,2.77
Saint George,37.1,-113.58,45.0,81.0,90.0,4.7
Orsha,54.52,30.41,46.36,89.0,100.0,14.97
Faanui,-16.48,-151.75,79.05,77.0,99.0,10.65
Capoeiras,-8.73,-36.63,66.88,88.0,67.0,11.05
Padang,-0.95,100.35,79.93,78.0,100.0,5.93
Soe,-9.86,124.28,90.99,27.0,12.0,10.47
Port Alfred,-33.59,26.89,65.07,75.0,0.0,7.9
Lagoa,39.05,-27.98,60.89,73.0,6.0,15.73
Lorengau,-2.02,147.27,85.33,60.0,78.0,5.39
Felipe Carrillo Puerto,19.58,-88.05,72.66,99.0,33.0,3.51
Tevriz,57.51,72.4,38.43,87.0,100.0,8.99
Hong Kong,22.29,114.16,80.01,56.0,68.0,1.01
Lebu,-37.62,-73.65,51.53,88.0,0.0,18.21
Rayachoti,14.05,78.75,82.4,83.0,75.0,7.67
Ngunguru,-35.62,174.5,66.0,69.0,32.0,8.01
San Jerónimo,-11.95,-75.28,49.15,70.0,71.0,3.98
San Antonio,29.42,-98.49,69.8,77.0,1.0,4.7
Taoudenni,22.68,-3.98,76.66,18.0,12.0,9.24
Nkhotakota,-12.93,34.3,78.76,57.0,0.0,8.93
Uyskoye,54.38,60.0,33.03,92.0,81.0,8.72
Iwanai,42.97,140.51,49.08,50.0,8.0,6.2
Grindavik,63.84,-22.43,39.2,80.0,75.0,9.17
Dingle,11.0,122.67,83.84,71.0,27.0,4.43
Mahébourg,-20.41,57.7,77.0,78.0,75.0,17.22
Arraial do Cabo,-22.97,-42.03,72.05,83.0,90.0,9.1
Los Llanos de Aridane,28.66,-17.92,66.2,59.0,0.0,8.05
Nago,26.59,127.98,80.6,74.0,75.0,18.34
Thompson,55.74,-97.86,15.8,85.0,90.0,3.36
Riyadh,24.69,46.72,64.4,39.0,0.0,2.24
Egvekinot,66.32,-179.17,20.25,98.0,98.0,4.72
Flin Flon,54.77,-101.86,16.05,96.0,100.0,9.24
Oksovskiy,62.61,39.9,35.04,85.0,72.0,14.12
Pauini,-7.71,-66.98,76.26,73.0,3.0,1.14
Djibouti,11.5,42.5,78.8,74.0,1.0,17.09
Saint-Pierre,-21.34,55.48,78.8,65.0,0.0,17.22
Dikson,73.51,80.55,-4.29,89.0,98.0,12.8
Vao,-22.67,167.48,73.8,69.0,13.0,13.73
Bambous Virieux,-20.34,57.76,77.0,78.0,75.0,17.22
Rodrigues Alves,-7.74,-72.65,75.36,79.0,41.0,1.48
Atuona,-9.8,-139.03,77.54,77.0,46.0,15.32
Esperance,-33.87,121.9,77.0,53.0,1.0,8.05
Oussouye,12.48,-16.55,82.4,88.0,0.0,4.7
Hithadhoo,-0.6,73.08,84.43,69.0,16.0,7.63
Camacha,33.08,-16.33,66.2,72.0,20.0,10.29
Balkhash,46.84,74.98,37.4,48.0,0.0,17.9
Liverpool,53.41,-2.98,50.0,93.0,100.0,6.93
Prachuap Khiri Khan,12.22,99.75,78.8,83.0,40.0,5.82
Kutum,14.2,24.67,60.22,41.0,10.0,5.84
Yeppoon,-23.13,150.73,78.8,50.0,40.0,12.75
Wanning,18.8,110.4,80.01,69.0,37.0,16.4
Broken Hill,-31.95,141.43,78.8,21.0,0.0,8.05
Te Anau,-45.42,167.72,55.0,41.0,1.0,8.59
Hofn,64.25,-15.21,43.05,78.0,50.0,9.15
Upernavik,72.79,-56.15,1.72,78.0,22.0,9.24
Kavieng,-2.57,150.8,84.54,66.0,49.0,3.24
Calabar,4.95,8.32,74.91,94.0,99.0,1.68
Tarko-Sale,64.92,77.78,32.0,94.0,100.0,5.99
Putina,-15.47,-69.43,40.73,69.0,2.0,3.44
Ambilobe,-13.2,49.05,81.54,60.0,93.0,3.89
Alyangula,-13.85,136.42,91.4,63.0,40.0,11.41
Nuuk,64.18,-51.72,19.4,79.0,97.0,14.99
Kapaa,22.08,-159.32,78.8,88.0,90.0,13.87
Zhigansk,66.77,123.37,-13.74,88.0,45.0,4.07
Lata,40.16,-8.33,62.01,86.0,92.0,3.0
Butaritari,3.07,172.79,81.7,69.0,80.0,8.46
Valle de Allende,26.93,-105.4,57.45,49.0,0.0,3.0
Boende,-0.22,20.87,67.26,98.0,87.0,0.78
Toropets,56.5,31.64,48.6,86.0,100.0,12.66
Ixtapa,20.7,-105.2,79.0,83.0,5.0,2.48
Sambava,-14.27,50.17,76.64,86.0,99.0,8.66
Baruun-Urt,46.68,113.28,30.9,71.0,0.0,13.11
Cape Town,-33.93,18.42,59.0,93.0,75.0,10.29
São João da Barra,-21.64,-41.05,73.53,90.0,100.0,5.64
Wote,-1.78,37.63,64.92,82.0,9.0,1.48
Gorzów Wielkopolski,52.74,15.23,44.01,92.0,0.0,3.56
Yangi Marg`ilon,40.43,71.72,50.0,25.0,1.0,4.7
Chui,-33.7,-53.46,58.89,94.0,0.0,5.84
Tateyama,34.98,139.87,73.0,64.0,75.0,3.36
Maceió,-9.67,-35.74,77.0,88.0,20.0,8.05
George Town,5.41,100.34,87.8,74.0,20.0,4.7
Stettler,52.32,-112.72,19.4,92.0,100.0,25.28
Cherskiy,68.75,161.3,2.98,94.0,99.0,6.04
Coquimbo,-29.95,-71.34,55.4,87.0,88.0,3.36
Nouadhibou,20.93,-17.03,69.8,77.0,96.0,13.87
Chyhyryn,49.08,32.66,43.59,93.0,4.0,8.46
Zverinogolovskoye,54.46,64.85,37.38,96.0,100.0,9.17
Hambantota,6.12,81.12,84.2,83.0,20.0,8.05
Meulaboh,4.14,96.13,85.96,64.0,83.0,1.54
Helong,42.54,129.0,33.15,69.0,0.0,20.92
Timbiquí,2.77,-77.67,74.21,90.0,100.0,2.19
Mogadishu,2.04,45.34,78.8,74.0,40.0,3.36
Nemuro,43.32,145.57,55.4,35.0,20.0,10.29
Bac Lieu,9.29,105.72,83.97,75.0,56.0,7.36
Honiara,-9.43,159.95,89.6,70.0,40.0,6.93
Corrente,-3.74,-43.34,74.21,92.0,4.0,2.93
Cobija,-11.03,-68.77,79.54,52.0,82.0,1.43
Mount Gambier,-37.83,140.77,69.8,46.0,0.0,6.93
Anadyr,64.75,177.48,17.6,92.0,75.0,2.24
Ishigaki,24.34,124.16,78.8,88.0,75.0,23.04
Bud,39.45,-86.18,57.2,67.0,1.0,4.7
Mossamedes,-15.2,12.15,68.5,69.0,100.0,3.87
Bengkulu,-3.8,102.27,84.9,65.0,91.0,6.98
Oron,4.83,8.23,76.24,90.0,100.0,1.68
Westport,41.14,-73.36,57.0,81.0,1.0,4.61
Burnie,-41.07,145.92,61.0,59.0,0.0,8.01
Berlevåg,70.86,29.09,38.88,75.0,98.0,35.88
Husavik,66.04,-17.34,42.8,48.0,40.0,9.17
Torbay,47.67,-52.73,37.0,74.0,90.0,17.22
Aljezur,37.32,-8.8,61.93,88.0,38.0,9.78
Kibala,9.11,18.35,71.6,83.0,0.0,1.79
Pevek,69.7,170.31,12.65,96.0,96.0,4.29
Bom Conselho,-9.17,-36.68,67.6,94.0,49.0,8.68
Ninghai,29.29,121.42,71.01,49.0,1.0,11.18
Biograd na Moru,43.94,15.45,41.0,93.0,0.0,1.12
Katsuura,35.13,140.3,73.0,59.0,100.0,8.79
Alta Floresta,-9.88,-56.09,73.99,77.0,34.0,3.11
Udachny,66.42,112.4,1.4,84.0,0.0,4.47
Isangel,-19.55,169.27,84.2,79.0,75.0,9.17
Malmesbury,-33.46,18.73,59.0,96.0,90.0,9.73
Urengoy,65.97,78.37,29.43,99.0,100.0,3.18
Stornoway,58.21,-6.39,46.4,93.0,100.0,4.7
Vanavara,60.34,102.28,23.7,97.0,100.0,4.92
Massakory,13.0,15.73,72.95,36.0,14.0,11.59
Bethel,41.37,-73.41,54.0,87.0,1.0,3.09
Chapais,49.78,-74.85,28.4,86.0,1.0,6.93
Buchanan,5.88,-10.05,77.22,90.0,22.0,4.94
Dunedin,-45.87,170.5,54.0,49.0,1.0,14.0
Colomi,-17.35,-65.87,62.6,39.0,2.0,2.3
Ust-Nera,64.57,143.2,-7.38,82.0,26.0,5.32
Paita,-5.09,-81.11,62.94,85.0,6.0,10.65
Pisco,-13.7,-76.22,62.6,88.0,90.0,13.87
Saint Paul Harbor,57.79,-152.41,46.4,93.0,90.0,13.87
Río Gallegos,-51.62,-69.22,57.2,54.0,0.0,14.99
Ostrovnoy,68.05,39.51,36.75,87.0,95.0,25.86
Dingli,35.86,14.38,63.0,93.0,20.0,1.12
Azua,18.45,-70.73,57.99,1.0,100.0,2.71
Tymovskoye,50.85,142.66,27.82,83.0,85.0,6.6
Mildura,-34.2,142.15,78.8,22.0,0.0,6.93
Lasem,-6.69,111.45,88.95,56.0,53.0,3.87
Saldanha,-33.01,17.94,57.2,93.0,51.0,8.05
San Cristobal,7.77,-72.22,66.31,92.0,78.0,1.19
Poum,-20.23,164.02,76.55,78.0,13.0,20.98
San Patricio,28.02,-97.52,72.0,94.0,20.0,9.17
Lodja,-3.48,23.43,66.4,96.0,82.0,0.72
Pop,40.87,71.11,48.2,34.0,45.0,3.29
Ponta do Sol,32.67,-17.1,63.0,77.0,20.0,4.7
Nizwá,22.93,57.53,74.46,54.0,0.0,0.78
Henties Bay,-22.12,14.28,59.0,93.0,78.0,1.99
Lüderitz,-26.65,15.16,59.94,88.0,0.0,7.02
La Romana,18.43,-68.97,77.0,94.0,75.0,7.29
Vila Franca do Campo,37.72,-25.43,57.2,71.0,20.0,6.93
Mackay,-21.15,149.2,82.4,58.0,75.0,18.34
Caravelas,-17.71,-39.25,73.92,95.0,100.0,3.71
Longyearbyen,78.22,15.64,30.2,80.0,20.0,2.24
Richards Bay,-28.78,32.04,72.55,89.0,0.0,8.41
Tasiilaq,65.61,-37.64,18.07,87.0,96.0,7.63
Prescott,34.54,-112.47,41.0,56.0,90.0,12.75
Yelizovo,53.19,158.38,37.4,47.0,0.0,8.95
Mēga,4.05,38.3,60.21,95.0,52.0,5.95
Yar-Sale,66.83,70.83,24.46,98.0,89.0,2.77
Zatoka,46.07,30.47,32.0,87.0,18.0,3.24
Itoman,26.12,127.67,80.6,78.0,75.0,18.34
Tromsø,69.65,18.96,33.8,86.0,75.0,3.36
Qaqortoq,60.72,-46.03,26.6,79.0,100.0,10.29
Baisha,26.52,110.93,70.9,34.0,0.0,6.6
Praia da Vitória,38.73,-27.07,55.99,93.0,75.0,11.77
Mongo,12.18,18.69,72.19,24.0,0.0,4.47
Belmonte,-15.86,-38.88,75.2,94.0,20.0,5.82
Sabang,5.89,95.32,81.14,74.0,70.0,3.33
Aswān,24.09,32.91,64.45,52.0,92.0,4.99
Wagar,16.15,36.2,71.42,72.0,0.0,1.81
Svobodnyy,51.4,128.13,19.08,88.0,27.0,15.86
Makhachkala,42.98,47.5,46.4,81.0,40.0,22.37
Zakupne,49.12,26.34,44.01,90.0,0.0,1.01
Albert Lea,43.65,-93.37,59.0,72.0,1.0,17.22
General Pico,-35.66,-63.76,67.84,54.0,0.0,14.36
Rawson,-43.3,-65.1,61.86,61.0,68.0,13.96
El Dorado,38.77,-120.52,44.01,75.0,80.0,3.91
Sabha,27.04,14.43,55.67,76.0,0.0,9.01
Monterey,36.25,-121.25,50.0,1.0,0.0,3.0
Chulumani,-16.41,-67.53,61.18,61.0,31.0,3.04
La Ronge,55.1,-105.28,17.6,85.0,100.0,12.75
College,64.86,-147.8,21.99,85.0,90.0,3.51
Lake Havasu City,34.48,-114.32,57.2,26.0,1.0,4.7
Potenza,40.64,15.81,48.99,93.0,5.0,3.36
Nanpiao,41.1,120.75,45.05,37.0,0.0,15.9
Kisesa,-3.08,34.15,68.31,64.0,8.0,4.45
Najrān,17.49,44.13,60.8,36.0,0.0,4.7
The Valley,18.22,-63.06,82.4,78.0,75.0,8.05
Kamina,-8.74,24.99,62.47,99.0,18.0,3.49
Manyana,-23.4,21.72,75.78,20.0,0.0,3.78
Souillac,-20.52,57.52,77.0,78.0,75.0,17.22
Ribeira Grande,38.52,-28.7,61.45,67.0,53.0,13.0
Sorong,-0.88,131.25,83.3,78.0,100.0,9.69
North Myrtle Beach,33.82,-78.68,68.0,88.0,20.0,11.41
Presidencia Roque Sáenz Peña,-26.79,-60.44,67.68,75.0,49.0,9.04
Port-Gentil,-0.72,8.78,75.45,95.0,100.0,9.31
Sloboda,51.14,40.3,39.24,93.0,3.0,10.49
Joensuu,62.6,29.76,37.0,80.0,0.0,9.17
Kahului,20.89,-156.47,84.2,62.0,40.0,20.8
Fare,-16.7,-151.02,79.79,75.0,90.0,10.13
Kendari,-3.94,122.5,91.35,45.0,100.0,4.56
Karpogory,64.0,44.45,34.45,91.0,100.0,16.78
Pacific Grove,36.62,-121.92,54.0,71.0,90.0,8.05
Senador José Porfírio,-2.59,-51.95,75.92,87.0,7.0,3.22
Nur,52.67,22.32,45.0,94.0,12.0,6.51
Porto-Novo,6.5,2.6,78.8,88.0,20.0,2.24
Wattegama,6.8,81.48,84.2,83.0,20.0,8.05
Beloha,-25.17,45.05,79.29,62.0,0.0,3.4
Nhulunbuy,-12.23,136.77,91.4,52.0,40.0,11.41
Pokhara,28.23,83.98,72.91,47.0,0.0,3.49
Ābādān,30.34,48.3,78.8,78.0,75.0,6.93
Mahibadhoo,3.78,72.97,84.07,72.0,95.0,7.29
Kawalu,-7.38,108.21,83.71,66.0,69.0,4.56
Bariloche,-41.15,-71.31,53.6,58.0,40.0,2.24
Puteyets,65.17,57.09,30.81,99.0,99.0,4.54
Sobolevo,54.43,31.9,48.13,87.0,100.0,14.9
Sinnamary,5.38,-52.95,78.06,83.0,33.0,13.67
Puqi,29.72,113.88,70.07,36.0,0.0,7.58
Kruisfontein,-34.0,24.73,57.99,92.0,0.0,1.01
Miami,25.77,-80.19,75.99,94.0,90.0,11.41
Harper,4.38,-7.72,78.01,85.0,63.0,4.7
Sitka,57.05,-135.33,33.8,80.0,1.0,4.7
Polyarny,69.2,33.45,33.8,86.0,75.0,11.18
Batagay-Alyta,67.8,130.41,-10.77,81.0,25.0,0.43
St. George's,12.06,-61.75,80.6,88.0,20.0,11.41
Abu Dhabi,24.47,54.37,80.6,61.0,0.0,9.17
Karakol,42.49,78.39,45.21,50.0,75.0,0.92
Mount Darwin,-16.77,31.58,75.09,27.0,25.0,1.63
Province of Siena,43.22,11.4,50.0,92.0,19.0,1.79
Bahía Honda,22.9,-83.16,75.76,88.0,100.0,18.57
Buala,-8.14,159.59,84.43,72.0,83.0,5.99
Hīt,33.64,42.83,63.52,55.0,43.0,6.06
Getulio Vargas,-32.68,-53.55,58.08,95.0,0.0,5.41
Oranjemund,-28.55,16.43,59.5,89.0,6.0,0.85
Ancud,-41.87,-73.82,52.0,66.0,21.0,17.22
Gao,16.64,1.64,71.69,21.0,0.0,13.06
Omsukchan,62.53,155.8,-1.34,88.0,100.0,4.94
Marawi,8.0,124.29,84.0,76.0,54.0,8.99
Basco,20.45,121.97,80.28,85.0,89.0,25.97
Tairua,-37.02,175.85,68.45,58.0,8.0,11.74
Lambaréné,-0.7,10.24,74.05,95.0,100.0,3.71
Faya,18.39,42.45,59.0,62.0,0.0,1.07
Honningsvåg,70.98,25.97,37.89,93.0,100.0,38.9
Iquique,-20.22,-70.14,64.4,63.0,90.0,2.24
Muli,2.92,73.57,84.51,68.0,56.0,6.2
Chato,-2.64,31.77,66.18,86.0,38.0,2.62
Izhma,65.01,53.91,29.34,98.0,100.0,3.04
Basay,9.41,122.64,82.29,73.0,72.0,4.65
Altagracia de Orituco,9.86,-66.38,72.66,92.0,53.0,2.8
Gijang,35.24,129.21,66.2,19.0,0.0,12.75
Southbridge,42.08,-72.03,57.99,61.0,54.0,5.77
Hai’an,32.54,120.45,72.0,32.0,0.0,1.01
Fuyang,32.9,115.82,68.49,23.0,0.0,5.91
Zhuhai,22.28,113.57,86.0,57.0,40.0,14.99
Sadao,6.64,100.42,84.2,79.0,40.0,3.36
Nagato,34.38,131.2,68.0,37.0,20.0,13.87
Banepā,27.63,85.52,62.6,67.0,20.0,1.79
Kovylkino,54.04,43.91,39.13,88.0,58.0,14.43
Creston,41.06,-94.36,55.4,76.0,1.0,10.29
Merauke,-8.47,140.33,83.66,71.0,14.0,13.0
Bathsheba,13.22,-59.52,80.6,88.0,40.0,19.46
Shimoda,34.67,138.95,69.8,64.0,75.0,3.36
Zyryanka,65.75,150.85,-2.13,92.0,96.0,4.81
Coyhaique,-45.58,-72.07,46.4,75.0,0.0,3.36
Isla Mujeres,21.23,-86.73,77.0,94.0,40.0,8.05
Les Cayes,18.2,-73.75,78.22,86.0,100.0,8.37
Goderich,43.75,-81.72,59.0,58.0,0.0,13.87
Nanortalik,60.14,-45.24,28.78,97.0,100.0,17.36
Saint-François,46.42,3.91,59.0,72.0,0.0,9.17
Kiryat Gat,31.61,34.76,64.0,79.0,5.0,1.74
Pangnirtung,66.15,-65.71,5.05,83.0,92.0,3.74
Republic,37.12,-93.48,62.01,77.0,1.0,10.29
Jacmel,18.23,-72.53,75.69,82.0,100.0,6.78
Telêmaco Borba,-24.32,-50.62,62.53,58.0,2.0,2.17
Birao,10.28,22.79,71.46,42.0,72.0,4.56
Tilichiki,60.47,166.1,19.45,92.0,0.0,8.81
Laas,46.62,10.7,35.6,45.0,5.0,3.36
Manta,-0.95,-80.73,73.4,83.0,90.0,9.17
Hamilton,39.18,-84.53,57.2,58.0,1.0,2.98
Hokitika,-42.72,170.97,56.91,52.0,97.0,9.33
Tegul'det,57.31,88.17,39.7,81.0,95.0,10.36
Ahipara,-35.17,173.17,62.37,75.0,34.0,14.61
São Filipe,14.9,-24.5,78.76,76.0,82.0,7.49
Shache,38.42,77.24,50.61,35.0,2.0,1.66
Tambun,-6.26,107.07,93.99,62.0,75.0,6.93
Abu Samrah,35.3,37.18,58.51,65.0,0.0,7.25
Byron Bay,-28.65,153.62,69.8,52.0,90.0,16.11
Alcoa,35.79,-83.97,60.01,87.0,1.0,1.92
Marovoay,-16.1,46.63,80.6,61.0,0.0,5.82
São Félix do Xingu,-6.64,-51.99,72.09,91.0,18.0,2.46
Provideniya,64.38,-173.3,27.34,92.0,0.0,6.35
Vestmannaeyjar,63.44,-20.27,43.54,69.0,98.0,14.52
Araceli,10.55,119.99,80.24,73.0,93.0,1.83
Fort Nelson,58.81,-122.7,5.0,92.0,20.0,1.5
Kavaratti,10.57,72.64,84.2,83.0,40.0,4.7
Tongliao,43.61,122.27,36.14,60.0,0.0,16.55
Caraúbas,-5.79,-37.56,79.21,64.0,0.0,9.15
Lompoc,34.64,-120.46,51.8,87.0,40.0,11.99
Boffa,10.17,-14.03,77.31,92.0,0.0,1.63
Brisbane,-27.47,153.03,73.0,53.0,75.0,14.99
Whyalla,-33.03,137.58,78.8,26.0,23.0,12.75
Tingi,-11.3,35.03,65.34,79.0,1.0,7.0
Dutlwe,-23.98,23.9,78.3,26.0,0.0,10.25
Dhidhdhoo,6.88,73.1,84.0,74.0,49.0,13.47
Namtsy,62.72,129.67,-2.2,70.0,75.0,6.71
Sola,-13.88,167.55,86.0,74.0,75.0,5.82
Beringovskiy,63.05,179.32,26.76,95.0,99.0,13.51
Prainha,-1.8,-53.48,76.89,80.0,1.0,3.69
Mergen,49.18,125.22,23.34,90.0,95.0,13.0
Suwannaphum,15.6,103.8,86.0,61.0,0.0,12.75
Aktau,43.65,51.2,42.8,93.0,75.0,11.18
Gorgan,36.84,54.43,57.2,93.0,90.0,6.93
Ulundi,-28.34,31.42,76.46,50.0,6.0,5.03
Fairbanks,64.84,-147.72,21.99,85.0,90.0,3.76
Shenjiamen,29.96,122.3,66.34,66.0,0.0,16.02
Zheleznodorozhnyy,55.75,38.0,71.44,93.0,90.0,8.95
Qurayyat,31.33,37.34,55.4,76.0,20.0,5.73
Moramanga,-18.93,48.2,67.8,60.0,67.0,1.1
Plettenberg Bay,-34.05,23.37,60.21,74.0,0.0,4.43
Sur,22.57,59.53,80.22,55.0,0.0,3.15
Hiroshima,34.4,132.46,68.0,42.0,20.0,11.41
João Câmara,-5.54,-35.82,78.8,83.0,20.0,8.05
Mezen',65.85,44.24,34.72,96.0,100.0,10.25
Alghero,40.56,8.32,57.99,93.0,0.0,2.24
Gilleleje,56.12,12.31,42.01,93.0,0.0,3.36
Bani Walid,31.76,13.99,59.43,82.0,1.0,8.97
Bonthe,7.53,-12.51,78.73,86.0,89.0,4.79
Touros,-5.2,-35.46,78.8,83.0,20.0,8.05
Igarka,67.47,86.58,17.06,97.0,100.0,13.73
Tahoua,14.89,5.27,69.8,28.0,0.0,4.7
Mwense,-10.38,28.7,69.28,68.0,0.0,2.42
Neftçala,39.37,49.25,56.98,76.0,65.0,23.55
Bulungu,-4.55,18.6,68.4,98.0,100.0,1.63
Korla,41.76,86.15,50.0,78.0,0.0,5.03
Haines Junction,60.75,-137.51,-9.4,76.0,100.0,1.12
Huancavelica,-12.77,-74.98,38.88,93.0,62.0,1.63
Umm Bāb,25.21,50.81,86.0,74.0,1.0,6.93
Kalabagh,32.97,71.56,75.81,18.0,0.0,1.95
Itaituba,-4.28,-55.98,75.29,91.0,22.0,1.34
Lishui,28.46,119.91,71.46,30.0,2.0,6.64
Umluj,25.02,37.27,71.47,59.0,73.0,5.97
Bereda,43.27,-7.54,55.99,89.0,27.0,15.99
Jalu,29.03,21.55,58.89,88.0,0.0,8.08
Alofi,-19.06,-169.92,78.8,74.0,33.0,13.87
São Gabriel da Cachoeira,-0.13,-67.09,72.5,97.0,100.0,0.65
Chegdomyn,51.12,133.02,25.3,84.0,87.0,4.68
Mahon,39.89,4.27,60.8,93.0,0.0,2.24
Lamar,33.67,-95.58,62.01,87.0,1.0,8.05
Bougouni,11.42,-7.48,70.74,26.0,0.0,2.24
Rocha,-34.48,-54.33,54.86,96.0,2.0,2.77
La Paz,-16.5,-68.15,39.2,23.0,16.0,5.82
Codrington,-38.27,141.97,62.8,70.0,0.0,11.54
Williams Lake,52.14,-122.14,23.0,57.0,5.0,11.41
Markova,48.68,24.41,42.93,75.0,3.0,4.5
Saint-Joseph,-21.37,55.62,78.8,65.0,0.0,17.22
Havøysund,71.0,24.66,33.8,86.0,100.0,43.62
Bremervörde,53.48,9.13,42.01,93.0,1.0,5.66
Superior,46.72,-92.1,42.8,93.0,90.0,9.17
Iskateley,67.68,53.15,29.84,99.0,94.0,4.5
Avera,33.19,-82.53,68.0,88.0,1.0,6.93
Araouane,18.9,-3.53,77.61,17.0,83.0,12.15
Baláo,-2.92,-79.82,70.05,86.0,56.0,5.46
Ust'-Ilimsk,58.0,102.66,36.45,96.0,100.0,6.08
Farmington,36.73,-108.22,51.8,76.0,90.0,16.11
Mehamn,71.04,27.85,38.68,76.0,76.0,30.91
Neuquén,-38.95,-68.06,69.8,64.0,40.0,25.28
Roald,62.58,6.13,43.0,93.0,100.0,3.36
